Series id,Year,Period,Value,MoYr
LNS14000000,1957,May,4.1,1957-05-01
LNS14000000,1957,Jun,4.3,1957-06-01
LNS14000000,1957,Jul,4.2,1957-07-01
LNS14000000,1957,Aug,4.1,1957-08-01
LNS14000000,1957,Sep,4.4,1957-09-01
LNS14000000,1957,Oct,4.5,1957-10-01
LNS14000000,1957,Nov,5.1,1957-11-01
LNS14000000,1957,Dec,5.2,1957-12-01
LNS14000000,1958,Jan,5.8,1958-01-01
LNS14000000,1958,Feb,6.4,1958-02-01
LNS14000000,1958,Mar,6.7,1958-03-01
LNS14000000,1958,Apr,7.4,1958-04-01
LNS14000000,1958,May,7.4,1958-05-01
LNS14000000,1958,Jun,7.3,1958-06-01
LNS14000000,1958,Jul,7.5,1958-07-01
LNS14000000,1958,Aug,7.4,1958-08-01
LNS14000000,1958,Sep,7.1,1958-09-01
LNS14000000,1958,Oct,6.7,1958-10-01
LNS14000000,1958,Nov,6.2,1958-11-01
LNS14000000,1958,Dec,6.2,1958-12-01
LNS14000000,1959,Jan,6.0,1959-01-01
LNS14000000,1959,Feb,5.9,1959-02-01
LNS14000000,1959,Mar,5.6,1959-03-01
LNS14000000,1959,Apr,5.2,1959-04-01
LNS14000000,1959,May,5.1,1959-05-01
LNS14000000,1959,Jun,5.0,1959-06-01
LNS14000000,1959,Jul,5.1,1959-07-01
LNS14000000,1959,Aug,5.2,1959-08-01
LNS14000000,1959,Sep,5.5,1959-09-01
LNS14000000,1959,Oct,5.7,1959-10-01
LNS14000000,1959,Nov,5.8,1959-11-01
LNS14000000,1959,Dec,5.3,1959-12-01
LNS14000000,1960,Jan,5.2,1960-01-01
LNS14000000,1960,Feb,4.8,1960-02-01
LNS14000000,1960,Mar,5.4,1960-03-01
LNS14000000,1960,Apr,5.2,1960-04-01
LNS14000000,1960,May,5.1,1960-05-01
LNS14000000,1960,Jun,5.4,1960-06-01
LNS14000000,1960,Jul,5.5,1960-07-01
LNS14000000,1960,Aug,5.6,1960-08-01
LNS14000000,1960,Sep,5.5,1960-09-01
LNS14000000,1960,Oct,6.1,1960-10-01
LNS14000000,1960,Nov,6.1,1960-11-01
LNS14000000,1960,Dec,6.6,1960-12-01
LNS14000000,1961,Jan,6.6,1961-01-01
LNS14000000,1961,Feb,6.9,1961-02-01
LNS14000000,1961,Mar,6.9,1961-03-01
LNS14000000,1961,Apr,7.0,1961-04-01
LNS14000000,1961,May,7.1,1961-05-01
LNS14000000,1961,Jun,6.9,1961-06-01
LNS14000000,1961,Jul,7.0,1961-07-01
LNS14000000,1961,Aug,6.6,1961-08-01
LNS14000000,1961,Sep,6.7,1961-09-01
LNS14000000,1961,Oct,6.5,1961-10-01
LNS14000000,1961,Nov,6.1,1961-11-01
LNS14000000,1961,Dec,6.0,1961-12-01
LNS14000000,1962,Jan,5.8,1962-01-01
LNS14000000,1962,Feb,5.5,1962-02-01
LNS14000000,1962,Mar,5.6,1962-03-01
LNS14000000,1962,Apr,5.6,1962-04-01
LNS14000000,1962,May,5.5,1962-05-01
